EMAP ID	EMAP TERM NAME	EMAPA ID	EMAPA TERM NAME
EMAP:27747	TS25 pretubular aggregate	EMAPA:27742	pretubular aggregate
EMAP:27748	TS26 pretubular aggregate	EMAPA:27742	pretubular aggregate
EMAP:27750	TS21 ureteric tip	EMAPA:27749	ureteric tip
EMAP:27751	TS22 ureteric tip	EMAPA:27749	ureteric tip
EMAP:27752	TS23 ureteric tip	EMAPA:27749	ureteric tip
EMAP:27753	TS24 ureteric tip	EMAPA:27749	ureteric tip
EMAP:27754	TS25 ureteric tip	EMAPA:27749	ureteric tip
EMAP:27755	TS26 ureteric tip	EMAPA:27749	ureteric tip
EMAP:27757	TS21 s-shaped body	EMAPA:27756	s-shaped body
EMAP:27759	TS21 renal connecting tubule of s-shaped body	EMAPA:27758	renal connecting tubule of s-shaped body
EMAP:27761	TS21 distal segment of s-shaped body	EMAPA:27760	distal segment of s-shaped body
EMAP:27763	TS21 medial segment of s-shaped body	EMAPA:27762	medial segment of s-shaped body
EMAP:27765	TS21 proximal segment of s-shaped body	EMAPA:27764	proximal segment of s-shaped body
EMAP:27767	TS21 visceral epithelium of s-shaped body	EMAPA:27766	visceral epithelium of s-shaped body
EMAP:27769	TS21 parietal epithelium of s-shaped body	EMAPA:27768	parietal epithelium of s-shaped body
EMAP:27771	TS21 capillary loop renal corpuscle	EMAPA:27770	capillary loop renal corpuscle
EMAP:27773	TS21 visceral epithelium of capillary loop renal corpuscle	EMAPA:27772	visceral epithelium of capillary loop renal corpuscle
EMAP:27775	TS21 parietal epithelium	EMAPA:27774	parietal epithelium
EMAP:27777	TS21 capillary loop renal corpuscle associated interstitium	EMAPA:27776	capillary loop renal corpuscle associated interstitium
EMAP:27779	TS21 presumptive mesangium	EMAPA:27778	presumptive mesangium
EMAP:27781	TS21 presumptive endothelium of renal corpuscle	EMAPA:27780	presumptive endothelium of renal corpuscle
EMAP:27783	TS21 renal tubule	EMAPA:27782	renal tubule
EMAP:27785	TS21 early proximal tubule	EMAPA:27784	early proximal tubule
EMAP:27787	TS21 anlage of loop of Henle	EMAPA:27786	anlage of loop of Henle
EMAP:27789	TS21 early distal tubule	EMAPA:27788	early distal tubule
EMAP:27791	TS21 renal connecting tubule	EMAPA:27790	renal connecting tubule
EMAP:27793	TS21 renal interstitium	EMAPA:27690	renal interstitium
EMAP:27795	TS20 developing vasculature of metanephros	EMAPA:27794	developing vasculature of metanephros
EMAP:27796	TS21 developing vasculature of metanephros	EMAPA:27794	developing vasculature of metanephros
EMAP:27830	TS22 renal vesicle	EMAPA:27829	renal vesicle
EMAP:27831	TS23 renal vesicle	EMAPA:27829	renal vesicle
EMAP:27832	TS24 renal vesicle	EMAPA:27829	renal vesicle
EMAP:27833	TS25 renal vesicle	EMAPA:27829	renal vesicle
EMAP:27834	TS26 renal vesicle	EMAPA:27829	renal vesicle
EMAP:27836	TS22 comma-shaped body	EMAPA:27835	comma-shaped body
EMAP:27837	TS23 comma-shaped body	EMAPA:27835	comma-shaped body
EMAP:27838	TS24 comma-shaped body	EMAPA:27835	comma-shaped body
EMAP:27839	TS25 comma-shaped body	EMAPA:27835	comma-shaped body
EMAP:27840	TS26 comma-shaped body	EMAPA:27835	comma-shaped body
EMAP:27842	TS22 upper limb of comma-shaped body	EMAPA:27841	upper limb of comma-shaped body
EMAP:27843	TS23 upper limb of comma-shaped body	EMAPA:27841	upper limb of comma-shaped body
EMAP:27844	TS24 upper limb of comma-shaped body	EMAPA:27841	upper limb of comma-shaped body
EMAP:27845	TS25 upper limb of comma-shaped body	EMAPA:27841	upper limb of comma-shaped body
EMAP:27846	TS26 upper limb of comma-shaped body	EMAPA:27841	upper limb of comma-shaped body
EMAP:27848	TS22 lower limb of comma-shaped body	EMAPA:27847	lower limb of comma-shaped body
EMAP:27849	TS23 lower limb of comma-shaped body	EMAPA:27847	lower limb of comma-shaped body
EMAP:27850	TS24 lower limb of comma-shaped body	EMAPA:27847	lower limb of comma-shaped body
EMAP:27851	TS25 lower limb of comma-shaped body	EMAPA:27847	lower limb of comma-shaped body
EMAP:27852	TS26 lower limb of comma-shaped body	EMAPA:27847	lower limb of comma-shaped body
EMAP:27854	TS22 s-shaped body	EMAPA:27853	s-shaped body
EMAP:27855	TS23 s-shaped body	EMAPA:27853	s-shaped body
EMAP:27856	TS24 s-shaped body	EMAPA:27853	s-shaped body
EMAP:27857	TS25 s-shaped body	EMAPA:27853	s-shaped body
EMAP:27858	TS26 s-shaped body	EMAPA:27853	s-shaped body
EMAP:27866	TS22 renal connecting tubule of s-shaped body	EMAPA:27865	renal connecting tubule of s-shaped body
EMAP:27867	TS23 renal connecting tubule of s-shaped body	EMAPA:27865	renal connecting tubule of s-shaped body
EMAP:27868	TS24 renal connecting tubule of s-shaped body	EMAPA:27865	renal connecting tubule of s-shaped body
EMAP:27869	TS25 renal connecting tubule of s-shaped body	EMAPA:27865	renal connecting tubule of s-shaped body
EMAP:27870	TS26 renal connecting tubule of s-shaped body	EMAPA:27865	renal connecting tubule of s-shaped body
EMAP:27872	TS22 distal segment of s-shaped body	EMAPA:27871	distal segment of s-shaped body
EMAP:27873	TS23 distal segment of s-shaped body	EMAPA:27871	distal segment of s-shaped body
EMAP:27874	TS24 distal segment of s-shaped body	EMAPA:27871	distal segment of s-shaped body
EMAP:27875	TS25 distal segment of s-shaped body	EMAPA:27871	distal segment of s-shaped body
EMAP:27876	TS26 distal segment of s-shaped body	EMAPA:27871	distal segment of s-shaped body
EMAP:27878	TS22 medial segment of s-shaped body	EMAPA:27877	medial segment of s-shaped body
