term,curie,acc,name,description,is_obsolete,replacement,replacement_acc
http://purl.obolibrary.org/obo/PATO_0001263,PATO:0001263,PATO:0001263,dark yellow,A color consisting of yellow hue and low brightness.,,,
http://purl.obolibrary.org/obo/PATO_0002167,PATO:0002167,PATO:0002167,herniated out of,A protruding quality inhering in a bearer by virtue of the bearer's bodily structure that has protruded out of the surface or boundary of another entity.,,,
http://purl.obolibrary.org/obo/PATO_0001073,PATO:0001073,PATO:0001073,obsolete relative impulse,,true,,
http://purl.obolibrary.org/obo/PATO_0005018,PATO:0005018,PATO:0005018,mesiodistally compressed,A quality inhering in a bearer by virtue of the bearer's being compressed from the side facing the midline of the jaw to the side opposite the midline.,,,
http://purl.obolibrary.org/obo/PATO_0000702,PATO:0000702,PATO:0000702,obsolete threshold value,,true,,
http://purl.obolibrary.org/obo/PATO_0001606,PATO:0001606,PATO:0001606,greasy,A coating which is oily and slippery.,,,
http://purl.obolibrary.org/obo/PATO_0000512,PATO:0000512,PATO:0000512,obsolete relative disease sensitivity value,,true,,
http://purl.obolibrary.org/obo/PATO_0001416,PATO:0001416,PATO:0001416,regular duration,A duration which has regular start and/or end times.,,,
http://purl.obolibrary.org/obo/PATO_0000322,PATO:0000322,PATO:0000322,red,"A color hue with high wavelength of the long-wave end of the visible spectrum, evoked in the human observer by radiant energy with wavelengths of approximately 630 to 750 nanometers.",,,
http://purl.obolibrary.org/obo/PATO_0001036,PATO:0001036,PATO:0001036,obsolete relative life span,,true,,
http://purl.obolibrary.org/obo/PATO_0001968,PATO:0001968,PATO:0001968,parallelodromous,A branched quality inhering in a bearer by virtue of the bearer's having two or more parallel primary branches originate beside each other and converge apically.,,,
http://purl.obolibrary.org/obo/PATO_0000874,PATO:0000874,PATO:0000874,obsolete fearful,,true,,
http://purl.obolibrary.org/obo/PATO_0001778,PATO:0001778,PATO:0001778,increased strength,A strength which is relatively high.,,,
http://purl.obolibrary.org/obo/PATO_0000684,PATO:0000684,PATO:0000684,obsolete absolute incidence value,,true,,
http://purl.obolibrary.org/obo/PATO_0001588,PATO:0001588,PATO:0001588,decreased variability of rate,A variability of rate which is relatively low.,,,
http://purl.obolibrary.org/obo/PATO_0000494,PATO:0000494,PATO:0000494,obsolete period value,,true,,
http://purl.obolibrary.org/obo/PATO_0001398,PATO:0001398,PATO:0001398,self-renewal,A cellular quality inhering in a bearer by virtue of the bearer's having the ability to go through numerous cycles of cell division while maintaining the undifferentiated state.,,,
http://purl.obolibrary.org/obo/PATO_0002352,PATO:0002352,PATO:0002352,herbaceous,A quality inhering in a bearer by virtue of the bearer's upper parts die back to the rootstock at the end of the growing season.,,,
http://purl.obolibrary.org/obo/PATO_0002162,PATO:0002162,PATO:0002162,high-arched,A concave quality inhering in a bearer by virtue of the bearer's forming or resembling an arch of an increased apical height.,,,
http://purl.obolibrary.org/obo/PATO_0005013,PATO:0005013,PATO:0005013,incomplete structure,A structural quality inhering in a bearer by virtue of the bearer's lacking parts or having a reduced form compared to fully formed entities.,,,
http://purl.obolibrary.org/obo/PATO_0000837,PATO:0000837,PATO:0000837,obsolete auditory threshold value,,true,,
http://purl.obolibrary.org/obo/PATO_0000647,PATO:0000647,PATO:0000647,necrotic,A structural quality inhering in a bearer by virtue of the bearer's undergoing unprogrammed cell death.,,,
http://purl.obolibrary.org/obo/PATO_0000457,PATO:0000457,PATO:0000457,obsolete deviation(from_normal) value,,true,,
http://purl.obolibrary.org/obo/PATO_0001601,PATO:0001601,PATO:0001601,anteriorly rotated,A rotation quality inhering in a bearer by virtue of being rotated towards the front of an organism.,,,
http://purl.obolibrary.org/obo/PATO_0002505,PATO:0002505,PATO:0002505,nucleated,A nucleate quality inhering in a bearer by virtue of the bearer's having one or more nucleus.,,,
http://purl.obolibrary.org/obo/PATO_0000267,PATO:0000267,PATO:0000267,obsolete relative visual_acuity,,true,,
http://purl.obolibrary.org/obo/PATO_0001411,PATO:0001411,PATO:0001411,structured,A structural quality inhering in a bearer by virtue of the bearer's having distinct structure.,,,
http://purl.obolibrary.org/obo/PATO_0002315,PATO:0002315,PATO:0002315,brush-like shape,A shape quality inhering in a bearer by virtue of the bearer's resembling the end of a brush with a multitude of bristles.,,,
http://purl.obolibrary.org/obo/PATO_0000077,PATO:0000077,PATO:0000077,response to,A quality inhering in a bearer by virtue of the whether the bearer's disposition to react to a stimulus or an agent.,,,
http://purl.obolibrary.org/obo/PATO_0001221,PATO:0001221,PATO:0001221,obsolete plane_angle_unit,,true,,
http://purl.obolibrary.org/obo/PATO_0002125,PATO:0002125,PATO:0002125,nodular,A quality inhering in a bearer by virtue of the bearer's consisting a knot-like mass.,,,
http://purl.obolibrary.org/obo/PATO_0001031,PATO:0001031,PATO:0001031,elasticity,A physical quality inhering in a bearer by virtue of the bearer's disposition to recover its size and shape after deformation in any way.,,,
http://purl.obolibrary.org/obo/PATO_0001963,PATO:0001963,PATO:0001963,revolute,A curled quality inhering in a bearer by virtue of the bearer's edges of its surface being rolled backwards spirally on each side.,,,
http://purl.obolibrary.org/obo/PATO_0001773,PATO:0001773,PATO:0001773,monophasic,A quality inhering in a bearer by virtue of the bearer's having only one phase or stage.,,,
http://purl.obolibrary.org/obo/PATO_0001583,PATO:0001583,PATO:0001583,decreased variability,A variability which is relatively low.,,,
http://purl.obolibrary.org/obo/PATO_0002487,PATO:0002487,PATO:0002487,single organismal process quality,A quality inhering in a process by virtue of that process having exactly one organism as a participant.,,,
http://purl.obolibrary.org/obo/PATO_0001393,PATO:0001393,PATO:0001393,euploid,"A ploidy quality inhering in a bearer by virtue of the bearer's containing an integral multiple of the monoploid number, possibly excluding the sex-determining chromosomes.",,,
http://purl.obolibrary.org/obo/PATO_0002297,PATO:0002297,PATO:0002297,decreased cellular motility,A cellular motility which is lower relative to the normal or average.,,,
http://purl.obolibrary.org/obo/PATO_0001926,PATO:0001926,PATO:0001926,increased fluorescence,A fluorescence which is higher than normal.,,,
http://purl.obolibrary.org/obo/PATO_0000832,PATO:0000832,PATO:0000832,obsolete relative visual acuity value,,true,,
http://purl.obolibrary.org/obo/PATO_0001736,PATO:0001736,PATO:0001736,solid configuration,A physical quality inhering in a bearer by virtue of the bearer's parts having the arrangement which exhibits characteristics of solids.,,,
http://purl.obolibrary.org/obo/PATO_0000642,PATO:0000642,PATO:0000642,fused with,A structural quality inhering in a bearer by virtue of the bearer's being merged with another entity.,,,
http://purl.obolibrary.org/obo/PATO_0001546,PATO:0001546,PATO:0001546,quality of a solid,A physical quality inhering in a bearer by virtue of the bearer's exhibiting the physical characteristics of an entity characterized by particles arranged such that their shape and volume are relatively stable.,,,
http://purl.obolibrary.org/obo/PATO_0000452,PATO:0000452,PATO:0000452,obsolete relative pilosity value,,true,,
http://purl.obolibrary.org/obo/PATO_0001356,PATO:0001356,PATO:0001356,pleomorphic,A shape quality inhering in a cell by virtue of the bearer's ability to take on two or more different shapes during its life cycle.,,,
http://purl.obolibrary.org/obo/PATO_0002500,PATO:0002500,PATO:0002500,ventrolaterally orientation,An orientation quality inhering in a bearer by virtue of the bearer having a position that is directed ventrolaterally.,,,
http://purl.obolibrary.org/obo/PATO_0000262,PATO:0000262,PATO:0000262,obsolete visual placing,,true,,
http://purl.obolibrary.org/obo/PATO_0001166,PATO:0001166,PATO:0001166,obsolete urine enzyme composition,,true,,
http://purl.obolibrary.org/obo/PATO_0002310,PATO:0002310,PATO:0002310,robust,"A quality inhering in a bearer by virtue of the bearer's being strong, thick or sturdy.",,,
http://purl.obolibrary.org/obo/PATO_0002120,PATO:0002120,PATO:0002120,suppurative,A quality inhering a bearer by virtue of the bearer's ability to generate pus.,,,
http://purl.obolibrary.org/obo/PATO_0045058,PATO:0045058,PATO:0045058,normal circumference,A circumference which is relatively normal or average,,,
http://purl.obolibrary.org/obo/PATO_0015009,PATO:0015009,PATO:0015009,humidity,A quality inhering in air by virtue of the partial pressure exerted by the bearer's water vapour content.,,,
http://purl.obolibrary.org/obo/PATO_0002482,PATO:0002482,PATO:0002482,slit-like,Shape quality inhering in a bearer by virtue of the bearer exhibiting a narrow and elongate opening.,,,
http://purl.obolibrary.org/obo/PATO_0002292,PATO:0002292,PATO:0002292,transient,A structural quality inhering in a bearer by virtue of the bearer's underlying structure being capable of change.,,,
http://purl.obolibrary.org/obo/PATO_0000605,PATO:0000605,PATO:0000605,obsolete placement value,,true,,
http://purl.obolibrary.org/obo/PATO_0001509,PATO:0001509,PATO:0001509,functionality,A quality of a single physical entity that arises by virtue of whether the bearer exhibits the ability to perform a regular function(s).,,,
http://purl.obolibrary.org/obo/PATO_0000415,PATO:0000415,PATO:0000415,uncoiled,A shape quality inhering in a bearer by virtue of the bearer's being not curled or wound (especially in concentric rings or spirals).,,,
