term,curie,acc,name,description,is_obsolete,replacement,replacement_acc
http://purl.obolibrary.org/obo/MA_0002176,MA:0002176,MA:0002176,median cubital vein,,,,
http://purl.obolibrary.org/obo/MA_0001082,MA:0001082,MA:0001082,inferior vagus X ganglion,,,,
http://purl.obolibrary.org/obo/MA_0000109,MA:0000109,MA:0000109,hyaline cartilage,,,,
http://purl.obolibrary.org/obo/MA_0003169,MA:0003169,MA:0003169,middle ear epithelium,,,,
http://purl.obolibrary.org/obo/MA_0000901,MA:0000901,MA:0000901,cortical layer V,,,,
http://purl.obolibrary.org/obo/MA_0001805,MA:0001805,MA:0001805,respiratory system blood vessel endothelium,,,,
http://purl.obolibrary.org/obo/MA_0002709,MA:0002709,MA:0002709,proximal nail bed,,,,
http://purl.obolibrary.org/obo/MA_0000711,MA:0000711,MA:0000711,capillary endothelium,,,,
http://purl.obolibrary.org/obo/MA_0001615,MA:0001615,MA:0001615,stomach greater curvature,,,,
http://purl.obolibrary.org/obo/MA_0002519,MA:0002519,MA:0002519,stomach secretion,,,,
http://purl.obolibrary.org/obo/MA_0000521,MA:0000521,MA:0000521,abdomen nerve,,,,
http://purl.obolibrary.org/obo/MA_0001425,MA:0001425,MA:0001425,cervical vertebra 5,,,,
http://purl.obolibrary.org/obo/MA_0002329,MA:0002329,MA:0002329,intrinsic tongue muscle vertical component,,,,
http://purl.obolibrary.org/obo/MA_0000331,MA:0000331,MA:0000331,anus,,,,
http://purl.obolibrary.org/obo/MA_0001235,MA:0001235,MA:0001235,external acoustic meatus osseus part,,,,
http://purl.obolibrary.org/obo/MA_0000141,MA:0000141,MA:0000141,spleen,,,,
http://purl.obolibrary.org/obo/MA_0002139,MA:0002139,MA:0002139,hypogastric vein,,,,
http://purl.obolibrary.org/obo/MA_0001045,MA:0001045,MA:0001045,inferior olive medial nucleus,,,,
http://purl.obolibrary.org/obo/MA_0001977,MA:0001977,MA:0001977,infraorbital artery,,,,
http://purl.obolibrary.org/obo/MA_0000883,MA:0000883,MA:0000883,forebrain meninges,,,,
http://purl.obolibrary.org/obo/MA_0001787,MA:0001787,MA:0001787,right lung bronchiole,,,,
http://purl.obolibrary.org/obo/MA_0002931,MA:0002931,MA:0002931,mesometrium,,,,
http://purl.obolibrary.org/obo/MA_0000693,MA:0000693,MA:0000693,limb nerve,,,,
http://purl.obolibrary.org/obo/MA_0001597,MA:0001597,MA:0001597,dental lamina,,,,
http://purl.obolibrary.org/obo/MA_0002741,MA:0002741,MA:0002741,brainstem white matter,,,,
http://purl.obolibrary.org/obo/MA_0002551,MA:0002551,MA:0002551,colostrum,,,,
http://purl.obolibrary.org/obo/MA_0002361,MA:0002361,MA:0002361,pterygoid medialis,,,,
http://purl.obolibrary.org/obo/MA_0002171,MA:0002171,MA:0002171,medial marginal vein,,,,
http://purl.obolibrary.org/obo/MA_0000104,MA:0000104,MA:0000104,cartilage tissue,,,,
http://purl.obolibrary.org/obo/MA_0001008,MA:0001008,MA:0001008,lateral cerebellar nucleus,,,,
http://purl.obolibrary.org/obo/MA_0003164,MA:0003164,MA:0003164,inner ear vestibular component,,,,
http://purl.obolibrary.org/obo/MA_0000846,MA:0000846,MA:0000846,hypothalamus periventricular zone,,,,
http://purl.obolibrary.org/obo/MA_0000656,MA:0000656,MA:0000656,hip connective tissue,,,,
http://purl.obolibrary.org/obo/MA_0001800,MA:0001800,MA:0001800,respiratory system arterial blood vessel,,,,
http://purl.obolibrary.org/obo/MA_0002704,MA:0002704,MA:0002704,cuticle,,,,
http://purl.obolibrary.org/obo/MA_0000466,MA:0000466,MA:0000466,foot digit 2,,,,
http://purl.obolibrary.org/obo/MA_0001610,MA:0001610,MA:0001610,stomach epithelium,,,,
http://purl.obolibrary.org/obo/MA_0002514,MA:0002514,MA:0002514,esophagus secretion,,,,
http://purl.obolibrary.org/obo/MA_0000276,MA:0000276,MA:0000276,retina,,,,
http://purl.obolibrary.org/obo/MA_0001420,MA:0001420,MA:0001420,coccygeal vertebra,,,,
http://purl.obolibrary.org/obo/MA_0002324,MA:0002324,MA:0002324,intercostales,,,,
http://purl.obolibrary.org/obo/MA_0003165,MA:0003165,MA:0003165,intercostal muscle,,,,
http://purl.obolibrary.org/obo/MA_0000086,MA:0000086,MA:0000086,heart valve,,,,
http://purl.obolibrary.org/obo/MA_0001230,MA:0001230,MA:0001230,extrinsic auricular muscle,,,,
http://purl.obolibrary.org/obo/MA_0002134,MA:0002134,MA:0002134,common plantar vein,,,,
http://purl.obolibrary.org/obo/MA_0001040,MA:0001040,MA:0001040,inferior olive,,,,
http://purl.obolibrary.org/obo/MA_0001972,MA:0001972,MA:0001972,common iliac artery,,,,
http://purl.obolibrary.org/obo/MA_0003127,MA:0003127,MA:0003127,fasciola cinereum,,,,
http://purl.obolibrary.org/obo/MA_0002876,MA:0002876,MA:0002876,vertebra lamina,,,,
http://purl.obolibrary.org/obo/MA_0001782,MA:0001782,MA:0001782,lung connective tissue,,,,
http://purl.obolibrary.org/obo/MA_0002686,MA:0002686,MA:0002686,small intestine mucosa,,,,
http://purl.obolibrary.org/obo/MA_0001592,MA:0001592,MA:0001592,tongue epithelium,,,,
http://purl.obolibrary.org/obo/MA_0002496,MA:0002496,MA:0002496,liver acinus,,,,
http://purl.obolibrary.org/obo/MA_0000809,MA:0000809,MA:0000809,brain ependyma,,,,
http://purl.obolibrary.org/obo/MA_0000619,MA:0000619,MA:0000619,hand bone,,,,
http://purl.obolibrary.org/obo/MA_0000429,MA:0000429,MA:0000429,right lung cranial lobe,,,,
http://purl.obolibrary.org/obo/MA_0000239,MA:0000239,MA:0000239,osseus cochlea,,,,
http://purl.obolibrary.org/obo/MA_0000049,MA:0000049,MA:0000049,metatarsus,,,,
http://purl.obolibrary.org/obo/MA_0001003,MA:0001003,MA:0001003,cerebellum vermis lobule VI,,,,
http://purl.obolibrary.org/obo/MA_0001935,MA:0001935,MA:0001935,middle cerebral artery,,,,
http://purl.obolibrary.org/obo/MA_0000841,MA:0000841,MA:0000841,retrochiasmatic area,,,,
http://purl.obolibrary.org/obo/MA_0002839,MA:0002839,MA:0002839,long bone epiphyseal plate,,,,
http://purl.obolibrary.org/obo/MA_0001745,MA:0001745,MA:0001745,seminal vesicle epithelium,,,,
http://purl.obolibrary.org/obo/MA_0002649,MA:0002649,MA:0002649,urethra muscle,,,,
http://purl.obolibrary.org/obo/MA_0000651,MA:0000651,MA:0000651,foot interdigit region,,,,
http://purl.obolibrary.org/obo/MA_0001555,MA:0001555,MA:0001555,small intestine mesentery,,,,
http://purl.obolibrary.org/obo/MA_0002459,MA:0002459,MA:0002459,eye chamber,,,,
http://purl.obolibrary.org/obo/MA_0000461,MA:0000461,MA:0000461,radio-carpal joint,,,,
http://purl.obolibrary.org/obo/MA_0001365,MA:0001365,MA:0001365,metacarpal bone digit 2,,,,
http://purl.obolibrary.org/obo/MA_0000271,MA:0000271,MA:0000271,eye muscle,,,,
http://purl.obolibrary.org/obo/MA_0002269,MA:0002269,MA:0002269,biceps brachii,,,,
http://purl.obolibrary.org/obo/MA_0001175,MA:0001175,MA:0001175,axillary nerve trunk,,,,
http://purl.obolibrary.org/obo/MA_0000081,MA:0000081,MA:0000081,atrium myocardium,,,,
http://purl.obolibrary.org/obo/MA_0002079,MA:0002079,MA:0002079,inferior vesical artery,,,,
http://purl.obolibrary.org/obo/MA_0003122,MA:0003122,MA:0003122,dentate gyrus molecular layer,,,,
http://purl.obolibrary.org/obo/MA_0002871,MA:0002871,MA:0002871,cervical vertebra 1 ventral tubercle,,,,
http://purl.obolibrary.org/obo/MA_0002681,MA:0002681,MA:0002681,esophagus muscularis mucosa,,,,
http://purl.obolibrary.org/obo/MA_0002491,MA:0002491,MA:0002491,urinary bladder neck,,,,
http://purl.obolibrary.org/obo/MA_0000804,MA:0000804,MA:0000804,epidermis stratum corneum,,,,
http://purl.obolibrary.org/obo/MA_0001708,MA:0001708,MA:0001708,ovary growing follicle,,,,
http://purl.obolibrary.org/obo/MA_0000614,MA:0000614,MA:0000614,forelimb joint,,,,
http://purl.obolibrary.org/obo/MA_0001518,MA:0001518,MA:0001518,joint articular surface,,,,
http://purl.obolibrary.org/obo/MA_0000424,MA:0000424,MA:0000424,terminal bronchiole,,,,
http://purl.obolibrary.org/obo/MA_0001328,MA:0001328,MA:0001328,vomeronasal organ sensory epithelium,,,,
http://purl.obolibrary.org/obo/MA_0000234,MA:0000234,MA:0000234,segmental spinal nerve,,,,
http://purl.obolibrary.org/obo/MA_0001138,MA:0001138,MA:0001138,cardiac nerve plexus,,,,
http://purl.obolibrary.org/obo/MA_0000044,MA:0000044,MA:0000044,foot,,,,
http://purl.obolibrary.org/obo/MA_0000976,MA:0000976,MA:0000976,olfactory tubercle,,,,
http://purl.obolibrary.org/obo/MA_0000786,MA:0000786,MA:0000786,vibrissa outer root sheath,,,,
http://purl.obolibrary.org/obo/MA_0001930,MA:0001930,MA:0001930,internal carotid artery,,,,
http://purl.obolibrary.org/obo/MA_0002834,MA:0002834,MA:0002834,corpus luteum,,,,
http://purl.obolibrary.org/obo/MA_0000596,MA:0000596,MA:0000596,arm skin,,,,
http://purl.obolibrary.org/obo/MA_0001740,MA:0001740,MA:0001740,prostate gland ventral lobe,,,,
http://purl.obolibrary.org/obo/MA_0002644,MA:0002644,MA:0002644,penile urethra cavernous portion,,,,
http://purl.obolibrary.org/obo/MA_0001550,MA:0001550,MA:0001550,large intestine peyer's patch,,,,
http://purl.obolibrary.org/obo/MA_0002454,MA:0002454,MA:0002454,left coronary artery,,,,
http://purl.obolibrary.org/obo/MA_0001360,MA:0001360,MA:0001360,fibula,,,,
http://purl.obolibrary.org/obo/MA_0002264,MA:0002264,MA:0002264,inferior vesical vein,,,,
http://purl.obolibrary.org/obo/MA_0001170,MA:0001170,MA:0001170,phrenic nerve,,,,
http://purl.obolibrary.org/obo/MA_0002074,MA:0002074,MA:0002074,ureteric artery,,,,
http://purl.obolibrary.org/obo/MA_0000007,MA:0000007,MA:0000007,limb,,,,
http://purl.obolibrary.org/obo/MA_0003257,MA:0003257,MA:0003257,plantaris,,,,
http://purl.obolibrary.org/obo/MA_0003067,MA:0003067,MA:0003067,mandibular lymph node,,,,
http://purl.obolibrary.org/obo/MA_0000939,MA:0000939,MA:0000939,septohippocampal nucleus,,,,
http://purl.obolibrary.org/obo/MA_0000749,MA:0000749,MA:0000749,efferent lymphatic vessel,,,,
http://purl.obolibrary.org/obo/MA_0000559,MA:0000559,MA:0000559,thoracic segment bone,,,,
http://purl.obolibrary.org/obo/MA_0002607,MA:0002607,MA:0002607,glomerular visceral epithelium,,,,
http://purl.obolibrary.org/obo/MA_0000369,MA:0000369,MA:0000369,kidney calyx,,,,
http://purl.obolibrary.org/obo/MA_0001513,MA:0001513,MA:0001513,joint of vertebral arch,,,,
http://purl.obolibrary.org/obo/MA_0002417,MA:0002417,MA:0002417,pancreatic acinus,,,,
http://purl.obolibrary.org/obo/MA_0000179,MA:0000179,MA:0000179,thalamus,,,,
http://purl.obolibrary.org/obo/MA_0001323,MA:0001323,MA:0001323,internal naris,,,,
http://purl.obolibrary.org/obo/MA_0002227,MA:0002227,MA:0002227,superior vesical vein,,,,
http://purl.obolibrary.org/obo/MA_0001133,MA:0001133,MA:0001133,spinal cord pia mater,,,,
http://purl.obolibrary.org/obo/MA_0002037,MA:0002037,MA:0002037,right renal artery,,,,
http://purl.obolibrary.org/obo/MA_0000971,MA:0000971,MA:0000971,olfactory bulb granule cell layer,,,,
http://purl.obolibrary.org/obo/MA_0002969,MA:0002969,MA:0002969,anterior cerebellum vermis,,,,
http://purl.obolibrary.org/obo/MA_0001875,MA:0001875,MA:0001875,left ventricle muscular part,,,,
http://purl.obolibrary.org/obo/MA_0000781,MA:0000781,MA:0000781,hair root sheath matrix,,,,
http://purl.obolibrary.org/obo/MA_0002779,MA:0002779,MA:0002779,vestibular ganglion inferior part,,,,
http://purl.obolibrary.org/obo/MA_0001685,MA:0001685,MA:0001685,right ureter,,,,
http://purl.obolibrary.org/obo/MA_0002589,MA:0002589,MA:0002589,kidney outer medulla peritubular capillary,,,,
http://purl.obolibrary.org/obo/MA_0000591,MA:0000591,MA:0000591,arm blood vessel,,,,
http://purl.obolibrary.org/obo/MA_0001495,MA:0001495,MA:0001495,palatine bone,,,,
http://purl.obolibrary.org/obo/MA_0002399,MA:0002399,MA:0002399,triceps brachii,,,,
http://purl.obolibrary.org/obo/MA_0000002,MA:0000002,MA:0000002,spinal cord grey matter,,,,
http://purl.obolibrary.org/obo/MA_0003252,MA:0003252,MA:0003252,female external inguinal ring,,,,
http://purl.obolibrary.org/obo/MA_0003062,MA:0003062,MA:0003062,interscapular brown adipose tissue,,,,
http://purl.obolibrary.org/obo/MA_0000934,MA:0000934,MA:0000934,medial septal complex,,,,
http://purl.obolibrary.org/obo/MA_0001838,MA:0001838,MA:0001838,bronchus elastic tissue,,,,
http://purl.obolibrary.org/obo/MA_0000744,MA:0000744,MA:0000744,lymph node secondary follicle,,,,
http://purl.obolibrary.org/obo/MA_0002989,MA:0002989,MA:0002989,lymph node germinal center,,,,
http://purl.obolibrary.org/obo/MA_0001648,MA:0001648,MA:0001648,juxtamedullary cortex,,,,
http://purl.obolibrary.org/obo/MA_0000554,MA:0000554,MA:0000554,thoracic cavity blood vessel,,,,
http://purl.obolibrary.org/obo/MA_0001458,MA:0001458,MA:0001458,vertebral pedicle,,,,
http://purl.obolibrary.org/obo/MA_0002602,MA:0002602,MA:0002602,extraglomerular mesangium,,,,
http://purl.obolibrary.org/obo/MA_0000364,MA:0000364,MA:0000364,liver caudate lobe,,,,
http://purl.obolibrary.org/obo/MA_0001268,MA:0001268,MA:0001268,ocular smooth muscle,,,,
http://purl.obolibrary.org/obo/MA_0002412,MA:0002412,MA:0002412,soft palate,,,,
http://purl.obolibrary.org/obo/MA_0000174,MA:0000174,MA:0000174,mammillary body,,,,
http://purl.obolibrary.org/obo/MA_0001078,MA:0001078,MA:0001078,inferior glossopharyngeal IX ganglion,,,,
http://purl.obolibrary.org/obo/MA_0002222,MA:0002222,MA:0002222,subcostal vein,,,,
